TIC m_TIC RAJ2000 DEJ2000 Tmag BJD0 Per Morph Sectors Transit_Times tpeak
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1502.0309847 1502.0309847
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1503.14227 1503.14227
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1504.2535553 1504.2535553
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1505.3648406 1505.3648406
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1506.4761259 1506.4761259
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1507.5874112000001 1507.5874112000001
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1508.6986965 1508.6986965
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1509.8099818 1509.8099818
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1510.9212671 1510.9212671
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1512.0325524 1512.0325524
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1513.1438377 1513.1438377
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1514.255123 1514.255123
38586438 1 064.0902106825 -62.0128901216 11.670 1325.336622 1.1112853 0.368 7.0 1515.3664083 1515.3664083
30313682 1 074.1906258018 -66.8909271999 10.062 1329.89694 5.7273674 0.422 7.0 1495.9905946000001 1495.9905946000001
30313682 1 074.1906258018 -66.8909271999 10.062 1329.89694 5.7273674 0.422 7.0 1501.7179620000002 1501.7179620000002
30313682 1 074.1906258018 -66.8909271999 10.062 1329.89694 5.7273674 0.422 7.0 1507.4453294 1507.4453294
30313682 1 074.1906258018 -66.8909271999 10.062 1329.89694 5.7273674 0.422 7.0 1513.1726968 1513.1726968
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1491.9220527999998 1491.9220527999998
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1493.2673983999998 1493.2673983999998
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1494.612744 1494.612744
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1495.9580896 1495.9580896
364302118 1 078.2265078044 -61.6986975067 10.361 1326.444544 1.3453456 0.560 7.0 1497.3034352 1497.3034352
