TIC tpeak
66310617 1502.8864629853326
289259688 1515.5351392341522
445581582 1493.5431375519017
79791774 1496.917128318573
219174607 1506.198027562943
20204109 1935.771263926325
19659438 1498.71495483482
292188482 1493.6476180483605
78376998 1504.4008881023674
293752076 1498.9168988873878
31272445 1509.7074956149313
98876850 1493.6391011981598
154835398 1515.3056751413408
199502710 1938.1403301554046
134601570 1500.891349011049
170090000 1495.164236879486
38634546 1492.5655596245585
122977643 1500.800251647464
148630427 1499.361187279236
132621343 1493.9783393199389
340057841 1500.458055662837
233536069 1940.3900816579028
112846402 1496.3280718222236
237278654 1946.0356573820568
130259179 1500.3181287137756
308611337 1515.6150500740337
441719325 1932.4927010599572
317770950 1496.6973585194312
366528529 1491.685659412699
151268760 1508.749492425816
300035640 1508.6416271548203
149220169 1506.9749034443137
128325510 1514.240652689565
156586011 1932.0677148057068
124074475 1513.4825044506188
80272521 1506.3313400152445
403675481 1514.242631567602
161723662 1947.1400809163201
237201602 1935.0233989515903
129173137 1500.7115035711577
147038816 1505.05877865845
207280057 1506.6564298048545
148111133 1504.4290813039424
178260312 1511.5217687396832
198108551 1935.3173620668265
299901142 1507.993265079319
409265160 1500.8701231399582
389432619 1929.2955631457442
168977224 1501.7395102609114
132700564 1495.1691740627489
129170182 1509.0221871287372
146127646 1499.6242074026798
182316744 1497.2451654738184
319011920 1506.8099477243097
16126248 1500.487076203974
111639962 1501.1884973522788
145968109 1507.098736250842
142709795 1492.7106442775566
109308412 1505.7787450556534
166086389 1940.7482173261546
232025924 1511.71465135945
279320801 1502.4376074864417
397619325 1930.168872119823
432012129 1514.9058566199196
158068619 1502.510440982007
72980351 1499.3465747296482
125507059 1515.7197865170865
349196326 1513.2797487198816
139652719 1495.0338359813027
334345333 1501.7654834411537
112482044 1494.3889725612846
129587494 1492.513719868511
149408309 1501.5000300572733
126598445 1492.333453751367
432206272 1511.5394101873183
170402497 1509.022957418788
153512315 1492.602636934771
255562481 1502.2722404074584
36644986 1514.7044733788848
32074248 1514.137986035852
230013424 1947.223294371352
334060364 1499.3115370230403
148323286 1515.2940653927735
271036158 1498.7590189612724
96313454 1492.7069378961492
424899957 1944.6529051498183
22895032 1942.3730301017126
284494445 1509.0068914035003
148986342 1509.2507792868598
293385931 1515.08971887901
140471662 1495.4676707171145
132230891 1512.1862062141822
23801578 1512.0345491358562
389795430 1497.546828764485
268592202 1506.5248789320146
96315270 1493.8341347727505
224604365 1939.5881523381522
224597033 1952.1751572845271
348962473 1496.2596823270228
394050789 1943.943495411677
284558073 1935.4418441645323
81845366 1501.4013408984172
165624109 1947.5200637460878
374911630 1503.0436801564726
319475677 1511.623965480069
154606480 1509.9326672456793
177166596 1492.8316938780213
60498595 1505.1966080981613
233525189 1946.693662624184
98222181 1492.308695526273
154177972 1512.691186422537
236716600 1928.702489081161
126686251 1503.0164424774596
31529422 1502.0799078214727
296179569 1513.6372322830427
50998351 1506.5376728480014
148616590 1503.5755271875514
416606565 1941.7912016347789
148097866 1495.1515042839053
175019533 1494.4023757041623
78494283 1509.047014818357
238561267 1503.7623353740985
331920560 1508.8754939808339
264173583 1934.8631970182776
453163977 1505.807065336025
356896334 1949.1692188885863
349194682 1495.8179065274023
452931641 1506.6567877775628
441793751 1928.29106993227
26002181 1508.2377885296085
177120637 1508.1607439465836
300326299 1499.0449854545056
198555831 1932.2770252630323
165766476 1952.0430657099776
32254303 1511.6514346057495
284458295 1505.7621836759436
291690824 1508.2378464981184
298664106 1942.4330189670516
27211947 1935.9799728566616
65794840 1496.5215037023875
173534703 1507.6765302784024
133666679 1514.1401599672247
269085769 1503.4381069170315
293936871 1508.7667985147575
259130613 1950.6294841253505
452973287 1494.9755893758536
125400923 1509.3403958731465
262576850 1512.426078941262
154312210 1504.8856738966101
177286084 1506.9909296414064
9064545 1940.8297047750377
177658538 1515.071981704409
36562433 1501.3836440448044
81745553 1509.2565979022866
125400704 1500.3833145900119
60506353 1496.1071303110489
349408068 1494.1910558579602
170371001 1495.0099418037
33834398 1499.9114283883669
176247399 1502.634403533251
260849660 1494.1303255578607
776481204 1513.8149822206087
231953221 1496.3024856690613
230005559 1954.1373056579832
143442778 1501.1307135577254
256373985 1946.0910261532256
262873871 1501.0454667374893
111959336 1504.5471660994326
148790026 1513.7653778753172
51491540 1493.7646959710241
180696926 1940.7177160567173
153597366 1500.8032577017757
156886258 1507.1042020953332
804256826 1513.0561227175658
238126574 1496.8941484962445
334145351 1502.1369239449364
389915116 1941.139853048559
235684230 1947.022448426062
81047471 1497.8076824471113
52506113 1511.221462718949
106896325 1495.1065378235764
170369031 1506.0950232000298
141648684 1494.0162234711102
65296785 1500.8141745147216
419235691 1514.4465450455361
219009028 1931.267524041355
339958896 1506.447365620271
134749557 1505.7258293629275
172231956 1509.7525594313597
168428995 1499.712094460475
415231737 1516.027425203232
199495837 1932.2460787574187
147370215 1498.1382484466124
41088706 1502.8807497310327
284585660 1502.8557266731927
31797246 1494.9182479116944
38707774 1505.711471457647
155949251 1941.2491232999516
132638098 1494.2170898235229
458459300 1952.0318988134509
170578206 1504.3059005654518
150297468 1502.960223595376
233535246 1942.6011932308022
287380200 1937.2287054276994
374994352 1497.5286991388582
19253390 1497.317157255145
150105595 1509.364156461286
138278253 1934.2751691104077
52280692 1502.8387146598666
310381449 1936.0166925374238
199610278 1928.2615156397565
106898260 1497.4987124571762
230136086 1928.234890548023
129672223 1509.2602319978407
172364652 1498.4407578028522
127263308 1495.0137119474493
440787313 1500.83977720833
109985595 1493.5498348367835
55500968 1515.6235313760374
187459667 1503.5576481793792
232024000 1503.4358211783158
174212197 1495.1174405528511
149811848 1510.4680410881522
238567474 1506.5857684905775
165657314 1942.3863282712048
167751394 1509.2815165375755
50643736 1499.000711088519
332308577 1498.989130744971
51000991 1498.2946294649746
60183159 1498.6074403861364
143385128 1511.6475089763876
154359630 1935.224550267862
132081481 1497.5752462482103
142765618 1514.242294730831
168627636 1495.4316754037873
1717930119 1935.4442197228557
150561807 1501.5801677163138
265046759 1495.8463439597713
154829930 1496.3756768012718
94519493 1511.2343220710363
170363225 1499.293850523531
280434492 1499.1112514364986
107341828 1513.9922277807934
455236039 1503.3926630897322
147836683 1514.3021106171777
267462363 1505.8516526143223
291579258 1512.6162511576852
294053987 1496.1611444927967
453191162 1501.393684616232
144745184 1503.1286759572288
232618456 1949.8719055662161
733481298 1501.26689237881
207439206 1928.7909389724612
65066948 1500.6498067032078
404846416 1500.9163362700374
229763469 1941.052639066151
32403697 1496.5272211984998
172595319 1511.774964158406
154538446 1500.2359059686667
288671595 1929.2328463775941
279861999 1509.0179343135412
514478720 1515.2623014421602
16154945 1494.8506498653946
81933931 1496.2011069124421
237300602 1931.206713906037
139569559 1499.60680390194
432037256 1513.1293961621311
366354251 1503.953701794545
349482091 1512.823038869733
229501054 1944.218835523035
127008638 1510.4772319597062
219762700 1953.38085813196
167163909 1515.0808811183902
127322359 1496.9199423647428
334356393 1512.9866488413152
307175075 1497.3429566225798
140877073 1510.2181080866299
36471715 1515.2910722708025
123831854 1497.9947500962983
287326642 1512.1570473144436
106893340 1504.159226248675
143594769 1505.9363076320733
107407904 1504.0279442028086
230089251 1941.1315783857137
56233646 1505.2987599506819
154470894 1509.277331172822
258799649 1946.1788762058043
341105692 1509.472591987405
81346306 1515.7315747225123
366622097 1500.7923726116894
231343066 1491.9666627811023
243316072 1933.2480620370734
269595963 1952.3147256229674
79802535 1496.8049815288978
506148077 1514.9891403839417
341789775 1509.1997372630374
172621328 1515.7890024987373
99927614 1508.343761961587
366352839 1497.8456958311208
81100700 1496.1528923433825
170259973 1500.4529222007086
126261102 1496.8790648766976
233131629 1942.7936050865146
123566302 1493.9680959314658
151618626 1508.450680343573
234405654 1501.2027990017443
123485513 1511.2270769794347
344134716 1496.883221990216
310351656 1930.993151734347
404528412 1941.0701725599024
152248344 1500.6711367976031
151159706 1492.3707922334472
19970677 1511.558215262443
278476445 1492.5273649738804
156114765 1495.1509207075562
140996283 1493.5663220729982
403632238 1504.3363884370385
178406554 1513.0751345433778
187595668 1512.5624611541448
278518066 1511.594731613566
127496971 1510.4079978678928
23732805 1505.2531837959784
49841810 1503.7834303942586
390727036 1954.7714977309977
62148845 1501.6105121270875
149414648 1508.1072524451597
238059991 1500.0973728449017
389563663 1504.6467803092312
64539390 1494.4404578008819
