loss_s0993 accuracy_s0993 auc_s0993 precision_s0993 recall_s0993 f1_score_s0993 val_loss_s0993 val_accuracy_s0993 val_auc_s0993 val_precision_s0993 val_recall_s0993 val_f1_score_s0993 test_loss_s0993 test_accuracy_s0993 test_auc_s0993 test_precision_s0993 test_recall_s0993 test_f1_score_s0993 test_f_score_s0993
0.04442257434129715 0.9928998351097107 0.9986658096313477 0.9950283765792847 0.9907000064849854 0.9928594827651978 0.04174621403217316 0.9938210248947144 0.9987173676490784 0.9959823489189148 0.991599977016449 0.9937863349914551 0.041923973709344864 0.9928258061408997 0.9988052248954773 0.9975767135620117 0.9879999756813049 0.9927653074264526 0.9927653074264526
0.045092616230249405 0.9932486414909363 0.9986859560012817 0.9946346879005432 0.9918000102043152 0.9932153224945068 0.03890126198530197 0.9948176145553589 0.9988394975662231 0.9955929517745972 0.9940000176429749 0.9947958588600159 0.03907258063554764 0.995017945766449 0.9986355304718018 0.997187614440918 0.9927999973297119 0.9949889779090881 0.9949889779090881
0.04132169857621193 0.9932984709739685 0.9989563226699829 0.9948833584785461 0.9916499853134155 0.9932640194892883 0.04406927898526192 0.9932230710983276 0.9987521171569824 0.996776819229126 0.9896000027656555 0.9931754469871521 0.046012114733457565 0.9928258061408997 0.9984602332115173 0.9991896152496338 0.9864000082015991 0.9927536249160767 0.9927536249160767
0.04080471023917198 0.9938465356826782 0.9988322854042053 0.9952363967895508 0.9923999905586243 0.9938161969184875 0.038909912109375 0.99461829662323 0.9986464381217957 0.9955911636352539 0.9936000108718872 0.9945945739746094 0.03547884523868561 0.995017945766449 0.9994162321090698 0.9967884421348572 0.9932000041007996 0.9949909448623657 0.9949909448623657
0.03950154781341553 0.9939212799072266 0.9990432858467102 0.9953364729881287 0.9924499988555908 0.9938911199569702 0.03788251802325249 0.9960135817527771 0.9986894130706787 0.9948124289512634 0.9972000122070312 0.9960047602653503 0.0362238734960556 0.9944201111793518 0.9991834163665771 0.9947958588600159 0.9940000176429749 0.994397759437561 0.994397759437561
0.04164094105362892 0.9928001761436462 0.9988004565238953 0.9943321347236633 0.9911999702453613 0.9927636384963989 0.049702178686857224 0.9940203428268433 0.9983116984367371 0.9947916865348816 0.9932000041007996 0.993995189666748 0.044274862855672836 0.9942207932472229 0.999225914478302 0.994397759437561 0.9940000176429749 0.9941987991333008 0.9941987991333008
0.04092435538768768 0.9936970472335815 0.9987610578536987 0.9955332279205322 0.9918000102043152 0.9936631321907043 0.03636382892727852 0.9956148862838745 0.9986973404884338 0.9952038526535034 0.9959999918937683 0.9956017732620239 0.03515014052391052 0.9948186278343201 0.9986574649810791 0.9959903955459595 0.9936000108718872 0.9947937726974487 0.9947937726974487
0.040314555168151855 0.9937717914581299 0.9987985491752625 0.9952356815338135 0.9922500252723694 0.9937406182289124 0.035378262400627136 0.996212899684906 0.9994020462036133 0.9960016012191772 0.996399998664856 0.9962007403373718 0.03331035003066063 0.9952172040939331 0.9993947148323059 0.9975883960723877 0.9927999973297119 0.9951884150505066 0.9951884150505066
0.04086318612098694 0.9933233857154846 0.9989445805549622 0.9948340058326721 0.9917500019073486 0.9932896494865417 0.03777187317609787 0.9954155683517456 0.9986770749092102 0.9952019453048706 0.9955999851226807 0.9954009056091309 0.03664160892367363 0.995017945766449 0.9986316561698914 0.9967884421348572 0.9932000041007996 0.9949909448623657 0.9949909448623657
0.040232107043266296 0.9936970472335815 0.9988731145858765 0.9952349662780762 0.9921000003814697 0.9936650395393372 0.03799477219581604 0.9952162504196167 0.9986424446105957 0.995199978351593 0.995199978351593 0.995199978351593 0.03707709535956383 0.9948186278343201 0.9987189769744873 0.9959903955459595 0.9936000108718872 0.9947937726974487 0.9947937726974487
0.04112657159566879 0.9933483004570007 0.9989225268363953 0.9950328469276428 0.991599977016449 0.9933134317398071 0.04044394567608833 0.9952162504196167 0.9985197186470032 0.9924423098564148 0.9980000257492065 0.9952134490013123 0.04032599925994873 0.9944201111793518 0.9989169836044312 0.9928229451179504 0.9959999918937683 0.9944089651107788 0.9944089651107788
0.0421975739300251 0.9933732151985168 0.9987015128135681 0.9948841333389282 0.9918000102043152 0.9933397173881531 0.03794135898351669 0.9954155683517456 0.9986567497253418 0.9952019453048706 0.9955999851226807 0.9954009056091309 0.03683191165328026 0.9946193695068359 0.9987863302230835 0.9959887862205505 0.9932000041007996 0.9945924878120422 0.9945924878120422
0.04071985185146332 0.9935973882675171 0.9989222884178162 0.9947872161865234 0.9923499822616577 0.9935671091079712 0.0368201844394207 0.9952162504196167 0.9990364909172058 0.9959936141967773 0.9944000244140625 0.9951961636543274 0.03726715222001076 0.995017945766449 0.9986593723297119 0.9975874423980713 0.9923999905586243 0.9949870109558105 0.9949870109558105
0.03841717168688774 0.9938465356826782 0.999015748500824 0.9952363967895508 0.9923999905586243 0.9938161969184875 0.03594363480806351 0.9950169324874878 0.9990598559379578 0.9959920048713684 0.9940000176429749 0.9949949979782104 0.037167027592659 0.995017945766449 0.9986512660980225 0.9979879260063171 0.9919999837875366 0.9949849843978882 0.9949849843978882
0.0401376448571682 0.9936223030090332 0.9988343715667725 0.9950355887413025 0.9921500086784363 0.9935907125473022 0.03543957322835922 0.9954155683517456 0.9993827939033508 0.9959952235221863 0.9947999715805054 0.9953972697257996 0.03561338037252426 0.995017945766449 0.9990318417549133 0.9975874423980713 0.9923999905586243 0.9949870109558105 0.9949870109558105
0.039316754788160324 0.9933233857154846 0.9988633990287781 0.9947347044944763 0.9918500185012817 0.9932903051376343 0.045068033039569855 0.9902331829071045 0.9987682700157166 0.9967572093009949 0.9836000204086304 0.9901348948478699 0.04572524502873421 0.9918293952941895 0.9984661936759949 0.9991880059242249 0.9843999743461609 0.9917389154434204 0.9917389154434204
