loss_s0131 accuracy_s0131 val_auc_s0131 precision_s0131 recall_s0131 f1_score_s0131 val_loss_s0131 val_accuracy_s0131 val_val_auc_s0131 val_precision_s0131 val_recall_s0131 val_f1_score_s0131
0.029043860733509064 0.9935831427574158 0.9991579651832581 0.9945144653320312 0.9926000237464905 0.9935563206672668 0.031833406537771225 0.9952152967453003 0.9990354180335999 0.9942115545272827 0.9962000250816345 0.9952048063278198
0.027544068172574043 0.9940067529678345 0.999372661113739 0.9948906898498535 0.9930750131607056 0.9939820170402527 0.03106246143579483 0.9942185282707214 0.9992637038230896 0.9985875487327576 0.989799976348877 0.9941743612289429
0.025870051234960556 0.9942933320999146 0.9994381070137024 0.9951167106628418 0.9934250116348267 0.9942701458930969 0.022817334160208702 0.9966108202934265 0.9990813732147217 0.997196614742279 0.9959999918937683 0.996597945690155
0.02455752156674862 0.9950035214424133 0.9993924498558044 0.9954705834388733 0.9944999814033508 0.994985044002533 0.02375091053545475 0.9969099164009094 0.9991791844367981 0.9966020584106445 0.9972000122070312 0.9969009757041931
0.023816008120775223 0.9954022765159607 0.9994458556175232 0.9963678121566772 0.9944000244140625 0.9953829050064087 0.02171282097697258 0.9963117837905884 0.9992837309837341 0.9975937604904175 0.9950000047683716 0.9962952136993408
0.021737152710556984 0.9956265687942505 0.9995364546775818 0.9963943362236023 0.994825005531311 0.9956091046333313 0.021141914650797844 0.9968101978302002 0.999347448348999 0.9969987869262695 0.9965999722480774 0.9967993497848511
0.02143118344247341 0.9958882331848145 0.9995492696762085 0.996445894241333 0.9952999949455261 0.9958725571632385 0.020062942057847977 0.9967105388641357 0.9992981553077698 0.9979947805404663 0.9954000115394592 0.9966956973075867
0.02067418396472931 0.9960252642631531 0.9996077418327332 0.9966208338737488 0.9954000115394592 0.9960100650787354 0.020123053342103958 0.9970095753669739 0.9993616938591003 0.9968012571334839 0.9972000122070312 0.9970005750656128
0.019820351153612137 0.9964489340782166 0.9995468854904175 0.9971708059310913 0.9957000017166138 0.9964348673820496 0.019436703994870186 0.9969099164009094 0.9993454217910767 0.9979956150054932 0.9958000183105469 0.9968965649604797
0.018641823902726173 0.9966482520103455 0.9996682405471802 0.9974209666252136 0.9958500266075134 0.9966349005699158 0.018583834171295166 0.9974082708358765 0.9993559122085571 0.9981971383094788 0.9965999722480774 0.9973978996276855
0.018683061003684998 0.996536135673523 0.9995930194854736 0.9972211122512817 0.9958249926567078 0.9965226054191589 0.018547745421528816 0.9975079894065857 0.9993387460708618 0.9985969066619873 0.996399998664856 0.9974972605705261
0.017673887312412262 0.9967355132102966 0.9996553659439087 0.9974462985992432 0.9959999918937683 0.9967225790023804 0.018891923129558563 0.9969099164009094 0.9994000196456909 0.9964035749435425 0.9973999857902527 0.9969015717506409
0.017340103164315224 0.9969722032546997 0.9997533559799194 0.9976467490196228 0.996275007724762 0.9969604015350342 0.017449334263801575 0.9977073073387146 0.9993381500244141 0.9977995753288269 0.9976000189781189 0.9976997971534729
0.01687360182404518 0.9969722032546997 0.9997349977493286 0.9974226355552673 0.9965000152587891 0.9969610571861267 0.01862296089529991 0.9969099164009094 0.9993439316749573 0.9981952905654907 0.9955999851226807 0.9968959093093872
0.01693175733089447 0.9969971179962158 0.9996826648712158 0.9975970387458801 0.9963750243186951 0.996985673904419 0.018669789656996727 0.9980064034461975 0.9994957447052002 0.997800886631012 0.998199999332428 0.9980003833770752
0.016107579693198204 0.9970345497131348 0.9998053908348083 0.9973731637001038 0.9966750144958496 0.9970239996910095 0.016660060733556747 0.9978070259094238 0.999464213848114 0.9983980655670166 0.9972000122070312 0.9977986812591553
0.015919480472803116 0.9971466660499573 0.9997554421424866 0.9975977540016174 0.9966750144958496 0.9971361756324768 0.018665213137865067 0.9978070259094238 0.999502420425415 0.9974020719528198 0.998199999332428 0.9978008270263672
0.015603307634592056 0.9972338676452637 0.9997431039810181 0.9975981712341309 0.9968500137329102 0.997223973274231 0.01874113827943802 0.998106062412262 0.9995207786560059 0.9972050189971924 0.9990000128746033 0.9981017112731934
0.01558099314570427 0.9973211288452148 0.9996820092201233 0.9978476762771606 0.9967749714851379 0.997310996055603 0.017157766968011856 0.9975079894065857 0.9993624687194824 0.999197244644165 0.9958000183105469 0.9974957704544067
0.014889831654727459 0.9972836971282959 0.9997788667678833 0.9977229237556458 0.9968249797821045 0.9972737431526184 0.018052546307444572 0.9977073073387146 0.9994077682495117 0.9974015355110168 0.9980000257492065 0.9977006316184998
